p,count,p_hat,predicted,epsilon_p,se,z_score
5,3915458,0.24998351195646518,0.25,-6.595217413929433e-05,0.00010940961393992736,-0.1507001344861388
7,2610456,0.16666529399314875,0.16666666666666666,-8.236041107556602e-06,9.416656285816513e-05,-0.01457707997662753
11,1566212,0.09999524352664727,0.1,-4.756473352740542e-05,7.580126810998688e-05,-0.06274925830843552
13,1305441,0.08334624604119362,0.08333333333333333,0.00015495249432340152,6.984094067793857e-05,0.1848873702866228
17,978580,0.062477714006984035,0.0625,-0.0003565758882554393,6.115299942805618e-05,-0.36443008886560746
19,870212,0.0555589287145104,0.05555555555555555,6.071686118724884e-05,5.788003189513751e-05,0.058278457084499635
23,711919,0.045452667822904684,0.045454545454545456,-4.1307896096909325e-05,5.263114535995006e-05,-0.03567529507348615
29,559510,0.03572207255824525,0.03571428571428571,0.0002180316308670882,4.6895787661195454e-05,0.16604570149869155
31,522250,0.03334319742907827,0.03333333333333333,0.00029592287234803116,4.5363251443610723e-05,0.21744684146372847
37,435173,0.027783741991008668,0.027777777777777776,0.00021471167631204047,4.152801817808965e-05,0.14361901897930404
41,391853,0.025017964465632564,0.025,0.0007185786253025572,3.946287212100545e-05,0.4552244848646064
43,372898,0.023807777185080762,0.023809523809523808,-7.335822660803348e-05,3.852046259960963e-05,-0.04534276914587129
47,340849,0.021761599809485686,0.021739130434782608,0.0010335912363415023,3.6866521382535726e-05,0.6094791116832183
53,301106,0.019224196850320806,0.019230769230769232,-0.000341763783318072,3.469551765035019e-05,-0.18943024613900597
59,270054,0.017241673218788518,0.017241379310344827,1.7046689734012688e-05,3.2891029600775004e-05,0.008935823756739665
61,261434,0.016691326906029005,0.016666666666666666,0.0014796143617403779,3.237089924810571e-05,0.7618027282260723
67,237257,0.015147739573826372,0.015151515151515152,-0.0002491881274594432,3.086198498509012e-05,-0.12233748706066037
71,223673,0.014280465291630873,0.014285714285714285,-0.0003674295858389076,2.9978662877458904e-05,-0.17509100071834477
73,217389,0.013879261552723591,0.013888888888888888,-0.0006931682039014175,2.956055773035474e-05,-0.32568181741073515
79,200599,0.012807299303160692,0.01282051282051282,-0.001030654353466054,2.8411498807304637e-05,-0.46507639184211935
83,190883,0.012186978563628046,0.012195121951219513,-0.0006677577825001668,2.772361088298726e-05,-0.29373473844503734
89,177873,0.01135635147209658,0.011363636363636364,-0.0006410704555009916,2.6773410730609676e-05,-0.2720942659522924
97,163189,0.010418847382008337,0.010416666666666666,0.00020934867280031355,2.565664962989884e-05,0.08499610717407256
101,156485,0.009990828625542007,0.01,-0.0009171374457992432,2.5129552874542805e-05,-0.3649636944907153
103,153511,0.009800952763111985,0.00980392156862745,-0.0003028181625774895,2.4892000310851864e-05,-0.11926745453926342
107,147633,0.009425670207845117,0.009433962264150943,-0.0008789579684176374,2.441541173027125e-05,-0.3396238571535332
109,144898,0.00925105336731179,0.009259259259259259,-0.0008862363303265841,2.4190330415780288e-05,-0.3392219869024594
113,139901,0.008932018503639021,0.008928571428571428,0.0003860724075703814,2.3773379736272474e-05,0.14499726609479632
127,124085,0.007922241556701152,0.007936507936507936,-0.0017975638556547713,2.2400684762964406e-05,-0.6368724866112496
131,120743,0.007708870631267013,0.007692307692307693,0.0021531820647116007,2.2099341387423067e-05,0.7494765870600326
137,115129,0.007350443229894403,0.007352941176470588,-0.0003397207343611708,2.1583364144436033e-05,-0.11573481128655178
139,113649,0.0072559522156387096,0.007246376811594203,0.0013214057581418803,2.1445207391794536e-05,0.4465055464173479
149,105815,0.00675578829288256,0.006756756756756757,-0.0001433326533811785,2.0698097806840085e-05,-0.04678999409681577
151,104473,0.006670107927253411,0.006666666666666667,0.0005161890880116538,2.0567314102729518e-05,0.1673169656259195
157,100261,0.0064011916083041,0.00641025641025641,-0.0014141091045603016,2.0151173498845605e-05,-0.44983990400504503
163,96672,0.006172050898734044,0.006172839506172839,-0.0001277544050848345,1.9789496748411383e-05,-0.03984979753760442
167,94534,0.006035549690302508,0.006024096385542169,0.0019012485902163423,1.9570784665432846e-05,0.5852246067869072
173,91181,0.005821476466789441,0.005813953488372093,0.0012939522877839504,1.92226456092845e-05,0.3913601993325353
179,88205,0.005631472913799614,0.0056179775280898875,0.0024021786563312997,1.8908151892219393e-05,0.7137337264188212
181,87161,0.0055648184415814095,0.005555555555555556,0.0016673194846537065,1.8796549714875434e-05,0.49279714449525497
191,82372,0.005259063396128358,0.005263157894736842,-0.0007779547356119298,1.8275682145975638e-05,-0.22404080875228008
193,81542,0.005206071813809287,0.005208333333333333,-0.00043421174861690837,1.8183858275779134e-05,-0.12436961890857061
197,79938,0.005103663984845685,0.00510204081632653,0.0003181410297541376,1.800505076322689e-05,0.09015073273048244
199,79005,0.005044096338696656,0.005050505050505051,-0.001268924938062077,1.790020483191431e-05,-0.3580244957291506
211,74531,0.004758452556412891,0.004761904761904762,-0.0007249631532928458,1.738847592364751e-05,-0.19853410425557885
223,70607,0.004507923678075499,0.0045045045045045045,0.0007590565327608711,1.6926672002324772e-05,0.20199916265435675
227,69253,0.00442147716908752,0.004424778761061947,-0.0007461597862205016,1.6764316469050144e-05,-0.19694163973354256
229,68506,0.004373784745000356,0.0043859649122807015,-0.002777078139918787,1.6674056240773445e-05,-0.7304861579248512
233,67546,0.0043124932762939605,0.004310344827586207,0.0004984401001988381,1.655732380055172e-05,0.1297582105437886
239,65636,0.004190548791680194,0.004201680672268907,-0.0026493875801137934,1.6322548599889234e-05,-0.6819940232120836
241,65257,0.004166351430597148,0.004166666666666667,-7.56566566845196e-05,1.627555270869302e-05,-0.019368685977125634
251,62517,0.00399141536366431,0.004,-0.002146159083922461,1.5931600253105962e-05,-0.5388433176394877
257,61092,0.0039004358398032546,0.00390625,-0.001488425010366834,1.5749702034301095e-05,-0.3691600123026361
263,59876,0.0038227999794418197,0.003816793893129771,0.0015735946137567236,1.5592777577055613e-05,0.3851838636425304
269,58467,0.0037328419800592037,0.0037313432835820895,0.0004016506558666144,1.5408916702465783e-05,0.09726163792386439
271,57996,0.0037027708532251283,0.003703703703703704,-0.00025186962921530665,1.5346957029432802e-05,-0.060784067928675994
277,56743,0.0036227727175073016,0.0036231884057971015,-0.00011472996798478352,1.5180876191285008e-05,-0.027382364796473057
281,55860,0.003566397335353398,0.0035714285714285713,-0.0014087461010485747,1.5062721396760619e-05,-0.334019062203147
283,55496,0.0035431576534688896,0.0035460992907801418,-0.000829541721773186,1.5013739728701469e-05,-0.19592968603476638
