p,count,p_hat,predicted,epsilon_p,se,z_score
5,34943531,0.24999720802656056,0.25,-1.116789375776861e-05,3.662546984229056e-05,-0.07623037879007158
7,23296207,0.1666685232127462,0.16666666666666666,1.1139276477223348e-05,3.1522443299496504e-05,0.05889600821541897
11,13977413,0.09999888750321631,0.1,-1.1124967836950717e-05,2.53748388442868e-05,-0.04384251622333171
13,11648122,0.08333439396129591,0.08333333333333333,1.2727535550816071e-05,2.3377700711928314e-05,0.045369216402052125
17,8735502,0.062496577999242145,0.0625,-5.4752012125680594e-05,2.047381314053228e-05,-0.1671403726490234
19,7764948,0.055552923958126194,0.05555555555555555,-4.736875372857163e-05,1.937431960682966e-05,-0.1358291533722431
23,6352901,0.0454506876500015,0.045454545454545456,-8.487169996695965e-05,1.7617878032430113e-05,-0.21897100983750598
29,4990800,0.03570578101620464,0.03571428571428571,-0.0002381315462700595,1.5694888527759024e-05,-0.5418769343936146
31,4658541,0.03332869375671455,0.03333333333333333,-0.0001391872985634368,1.5182131388388116e-05,-0.30559455059977647
37,3882840,0.027779080460238845,0.027777777777777776,4.689656859846458e-05,1.3900345629189015e-05,0.09371583238426733
41,3494879,0.025003483259624162,0.025,0.00013933038496638517,1.3206446454774419e-05,0.2637544956616049
43,3327574,0.023806529726540064,0.023809523809523808,-0.00012575148531734914,1.2894371574349742e-05,-0.23220076810102983
47,3037971,0.021734617147467387,0.021739130434782608,-0.0002076112165002586,1.2333562118612317e-05,-0.36593542658778583
53,2687274,0.0192256185330088,0.019230769230769232,-0.00026783628354243305,1.1614724222329465e-05,-0.44346276862341555
59,2410339,0.017244336881625726,0.017241379310344827,0.00017153913429202028,1.1011087459449495e-05,0.26859938146806805
61,2330514,0.01667324327546669,0.016666666666666666,0.00039459652800122313,1.0830366592835313e-05,0.6072378754355992
67,2118109,0.015153629903512903,0.015151515151515152,0.00013957363185168603,1.0333008051022145e-05,0.20465986161138355
71,1997048,0.014287520751552747,0.014285714285714285,0.0001264526086923734,1.0037781777905137e-05,0.1799666378918421
73,1942437,0.013896816173714334,0.013888888888888888,0.0005707645074319867,9.901546291720562e-06,0.8006107926874421
79,1791715,0.012818502731716178,0.01282051282051282,-0.000156786926138075,9.514836696797074e-06,-0.2112583600429806
83,1705323,0.012200426705116845,0.012195121951219513,0.00043498981958123295,9.285517494604523e-06,0.5712932962988039
89,1587733,0.011359150198405395,0.011363636363636364,-0.00039478254032521143,8.963474390579818e-06,-0.5004940088504076
97,1456194,0.010418078079889218,0.010416666666666666,0.00013549566936488233,8.588233936791459e-06,0.16434266147607246
101,1397220,0.009996159203226227,0.01,-0.00038407967737730253,8.414323542536081e-06,-0.4564593641256423
103,1370603,0.009805732663731893,0.00980392156862745,0.00018473170065314015,8.334593319470259e-06,0.21729855735272546
107,1319423,0.009439574558336094,0.009433962264150943,0.0005949031836258722,8.179012699118616e-06,0.6861823537399953
109,1293316,0.009252796722119445,0.009259259259259259,-0.0006979540110999549,8.098454069787568e-06,-0.7979963934009855
113,1247608,0.008925787056597146,0.008928571428571428,-0.0003118496611196342,7.955372766625468e-06,-0.3499989322892266
127,1108878,0.007933268221865627,0.007936507936507936,-0.00040820404493102647,7.503790448345193e-06,-0.4317437519891951
131,1075349,0.007693391021478449,0.007692307692307693,0.0001408327921983421,7.390367421492052e-06,0.1465866456931478
137,1027569,0.007351557604600542,0.007352941176470588,-0.00018816577432623216,7.2255614752632596e-06,-0.19148295600038004
139,1012038,0.007240443858314842,0.007246376811594203,-0.0008187475525518462,7.171150195928223e-06,-0.827336357106245
149,944718,0.006758815025660579,0.006756756756756757,0.0003046237977657462,6.930216871900058e-06,0.29699920534488716
151,932311,0.0066700513755307295,0.006666666666666667,0.000507706329609503,6.884866755132116e-06,0.49161573991819246
157,895930,0.006409770054069132,0.00641025641025641,-7.587156521537963e-05,6.750082276358721e-06,-0.07205189023859025
163,862958,0.006173877810006798,0.006172839506172839,0.0001682052211013918,6.625496123181098e-06,0.1567133712939855
167,842285,0.006025976549497862,0.006024096385542169,0.00031210721664498564,6.546141991874683e-06,0.287217105590837
173,812764,0.005814773864281187,0.005813953488372093,0.00014110465636418823,6.431085045485208e-06,0.12756415181759154
179,785498,0.005619704171007997,0.0056179775280898875,0.00030734243942354134,6.322912436499395e-06,0.2730771516212575
181,776294,0.005553855808326034,0.005555555555555556,-0.0003059545013139875,6.28596733038027e-06,-0.2704034463092455
191,735711,0.005263512033584382,0.005263157894736842,6.728638103270512e-05,6.120346634759372e-06,0.05786254744610757
193,728452,0.005211578823598682,0.005208333333333333,0.0006231341309468341,6.09023711405685e-06,0.5329004773653327
197,712988,0.005100944416763188,0.00510204081632653,-0.0002148943144152371,6.025581851177977e-06,-0.18195745911708922
199,705852,0.005049891188156223,0.005050505050505051,-0.0001215447450677587,5.9955060759940174e-06,-0.10238707809598717
211,665900,0.004764061789430687,0.004761904761904762,0.00045297578044412035,5.824194946924043e-06,0.37035634033223347
223,629478,0.004503487140842844,0.0045045045045045045,-0.00022585473288860847,5.663416742945125e-06,-0.1796377889597938
227,618041,0.004421663181260746,0.004424778761061947,-0.0007041210350713367,5.611962146870257e-06,-0.5551676436267877
229,613188,0.004386943265561532,0.0043859649122807015,0.00022306454802922815,5.589982985681123e-06,0.1750190087047581
233,602840,0.004312910360625312,0.004310344827586207,0.0005952036650724857,5.5428208160068735e-06,0.4628569322855485
239,587357,0.004202140021706923,0.004201680672268907,0.00010932516624762023,5.471482814791451e-06,0.08395337307349052
241,582295,0.004165924853095873,0.004166666666666667,-0.00017803525699044975,5.447953506131011e-06,-0.13616371174215447
251,559293,0.0040013611809521805,0.004,0.0003402952380451296,5.339707097895412e-06,0.2549167823674989
257,546525,0.003910014821247343,0.00390625,0.000963794239319915,5.27864765260962e-06,0.7132170008510026
263,533416,0.003816228838370565,0.003816793893129771,-0.00014804434691195745,5.215201837803865e-06,-0.10834763002076069
269,520990,0.0037273292561578217,0.0037313432835820895,-0.001075759349703831,5.1543294385077516e-06,-0.778768115650352
271,517427,0.003701838413455101,0.003703703703703704,-0.0005036283671226993,5.13673993557441e-06,-0.36312725035672105
277,506288,0.0036221464412783955,0.0036231884057971015,-0.0002875822071628509,5.081351296034905e-06,-0.2050565800319876
281,499093,0.0035706711077824445,0.0035714285714285713,-0.00021208982091558415,5.045246166854812e-06,-0.1501341304420437
283,495695,0.003546360727904857,0.0035460992907801418,7.372526916982203e-05,5.028103267421245e-06,0.0519951780643343
293,478935,0.0034264543221519538,0.003424657534246575,0.0005246620683705405,4.942666818015371e-06,0.3635260015563989
307,456550,0.0032663048655422436,0.0032679738562091504,-0.0005107111440734169,4.826164428209594e-06,-0.3458213435811146
311,450466,0.0032227779817355215,0.0032258064516129032,-0.0009388256619883295,4.794004438950132e-06,-0.6317202906147058
313,447817,0.0032038261876520227,0.003205128205128205,-0.0004062294525689625,4.779933338825887e-06,-0.27239239208765065
317,442573,0.00316630893277325,0.0031645569620253164,0.0005536227563469609,4.751953501648692e-06,0.3686843205275338
331,423062,0.0030267209922813115,0.0030303030303030303,-0.001182072547167179,4.6463523303440036e-06,-0.7709355139354271
337,415850,0.002975124035342771,0.002976190476190476,-0.00035832412482905696,4.606697771380044e-06,-0.2314978973291186
347,403847,0.0028892507305544593,0.002890173410404624,-0.0003192472281571268,4.539923139120511e-06,-0.20323688791427708
349,401683,0.0028737687817448365,0.0028735632183908046,7.153604720300244e-05,4.527778441911599e-06,0.045400488709673434
353,396879,0.0028393994277330853,0.002840909090909091,-0.0005314014379539378,4.500699175050149e-06,-0.3354285894899522
359,390421,0.002793196828189395,0.002793296089385475,-3.5535508196571364e-05,4.464034802707504e-06,-0.022235757664721793
367,382366,0.0027355687793624477,0.00273224043715847,0.0012181732466558515,4.417872413367249e-06,0.7533812415920201
373,375631,0.0026873844331365645,0.002688172043010753,-0.0002929908731980069,4.378897104960057e-06,-0.17986489641335948
379,369332,0.0026423193704970933,0.0026455026455026454,-0.0012032779520987358,4.342124862232212e-06,-0.7331145709880936
383,365733,0.0026165709722688895,0.002617801047120419,-0.00046988859328422894,4.320972666782813e-06,-0.28467545304918823
389,360020,0.0025756983412386783,0.002577319587628866,-0.0006290435993927534,4.287179399239977e-06,-0.3781615461380052
397,352982,0.0025253462360066417,0.0025252525252525255,3.710945863000248e-05,4.2451748721697724e-06,0.02207465108929902
401,349525,0.002500613751240067,0.0025,0.00024550049602689583,4.224388108964069e-06,0.1452876071601352
409,342520,0.002450497738573057,0.0024509803921568627,-0.00019692266219273336,4.181947404857765e-06,-0.11541359493065691
419,334679,0.0023944007142587065,0.0023923444976076554,0.0008594985601393379,4.133919744984322e-06,0.49740120222360784
421,332584,0.0023794124135395936,0.002380952380952381,-0.000646786313370673,4.120991780788858e-06,-0.3736885426383287
431,325020,0.0023252971359074364,0.002325581395348837,-0.0001222315598023993,4.073970630976264e-06,-0.06977454359622398
433,324070,0.0023185005317627313,0.0023148148148148147,0.0015922297214998604,4.068026232105651e-06,0.9060209393017774
439,319211,0.0022837376901426024,0.00228310502283105,0.0002771082824599702,4.037484058679756e-06,0.15669840483759742
443,316612,0.0022651436120667196,0.0022624434389140274,0.001193476533490001,4.021051437761771e-06,0.6715092294853293
449,312051,0.0022325127578519824,0.002232142857142857,0.00016571551768818082,3.992048731191347e-06,0.09265936716534373
457,306981,0.0021962403546797143,0.0021929824561403508,0.0014856017339497374,3.959557799561802e-06,0.822793530056341
461,303859,0.0021739045671641676,0.002173913043478261,-3.899104482951721e-06,3.939416064725331e-06,-0.0021516676466919594
